,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
682,300,89,118,176,164,72,136,103
683,297,89,118,180,163,73,133,103
684,295,86,118,176,164,72,133,103
685,300,87,117,176,168,73,133,104
686,300,90,118,175,164,73,133,104
687,300,101,115,175,163,73,135,104
688,304,85,118,176,161,73,135,104
689,300,85,118,176,164,72,132,112
690,298,87,118,177,161,71,134,103
691,304,104,118,177,164,80,136,104
692,295,87,118,184,161,71,135,104
693,300,92,120,175,163,73,135,104
694,300,86,116,176,163,74,133,104
695,304,94,115,175,164,73,135,104
696,304,102,118,176,161,73,135,104
697,300,87,118,176,172,80,137,105
698,295,85,118,176,172,74,133,103
699,295,74,117,175,163,73,135,104
700,299,75,118,176,163,73,135,104
701,296,88,120,177,161,71,131,103
702,295,91,118,176,164,77,134,104
703,297,106,115,175,164,74,135,104
704,299,89,115,175,164,72,134,108
705,299,87,118,180,168,74,136,103
706,295,90,115,175,164,72,136,103
707,299,74,117,175,164,73,135,104
708,298,88,115,177,164,73,131,103
709,299,87,118,175,164,73,135,104
710,299,89,115,176,168,72,131,103
711,295,95,117,175,163,73,135,104
712,299,93,118,176,163,73,135,104
713,295,99,118,177,164,72,134,108
714,293,87,118,176,163,73,135,104
715,295,96,115,175,164,73,134,104
716,298,93,117,180,161,78,132,103
717,298,86,118,176,163,73,133,109
718,292,88,122,176,164,72,135,107
719,303,89,118,173,168,72,140,104
720,291,89,121,175,171,72,135,104
721,295,108,115,181,160,73,136,101
722,298,100,117,178,161,73,134,103
723,300,96,118,172,163,73,133,106
724,303,94,120,175,164,73,136,103
725,301,88,123,176,163,73,133,113
726,304,84,118,176,164,73,135,107
727,300,84,118,176,163,77,132,103
728,295,87,115,183,160,73,135,103
729,291,85,118,176,164,72,135,102
730,291,75,117,175,166,72,135,102
731,299,87,118,176,163,73,135,105
732,302,87,118,173,170,72,135,103
733,298,92,114,181,163,73,133,109
734,296,95,117,175,166,72,137,101
735,298,98,124,176,164,72,135,102
736,295,94,116,175,162,73,137,102
737,304,92,115,181,161,78,132,112
738,299,91,115,181,160,73,132,103
739,295,75,118,175,168,71,139,101
740,298,84,117,176,163,75,133,112
741,293,85,119,175,164,73,136,103
742,296,88,119,175,172,72,135,105
743,295,88,115,179,161,83,132,103
744,291,102,117,179,160,73,134,103
745,300,91,118,172,163,72,138,103
746,298,89,117,178,161,76,132,103
747,296,84,123,175,166,72,140,102
748,298,82,117,178,161,77,132,103
749,297,95,118,180,161,71,131,103
750,296,96,117,175,164,73,135,104
751,296,93,117,173,163,73,135,104
752,295,92,115,175,164,73,134,104
753,291,88,115,175,163,73,135,104
754,294,74,118,176,168,71,134,103
755,294,85,118,177,161,71,135,103
756,295,90,117,175,163,73,135,104
757,291,101,115,177,164,73,135,104
758,296,89,120,176,159,73,135,104
759,291,80,117,177,164,74,133,103
760,295,92,118,177,164,76,131,102
