,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
691,276,74,126,185,191,75,139,121
692,273,94,123,188,192,75,142,119
693,273,95,128,183,191,76,142,128
694,280,92,128,187,196,75,142,121
695,276,90,126,185,191,75,142,124
696,280,59,127,192,187,76,144,119
697,276,72,123,188,192,75,142,122
698,271,95,126,188,200,74,142,124
699,273,96,126,185,191,75,142,124
700,273,93,126,185,191,73,142,122
701,276,94,123,188,191,74,140,124
702,273,86,123,188,187,75,142,121
703,276,71,123,188,196,73,144,118
704,277,91,126,187,190,75,139,122
705,280,93,126,185,191,75,142,119
706,277,91,126,192,187,76,144,119
707,280,92,126,192,191,75,139,122
708,273,96,126,188,192,73,142,122
709,276,73,128,183,191,75,142,122
710,277,69,126,183,191,75,140,124
711,271,88,127,184,191,72,142,121
712,272,91,127,187,192,75,142,122
713,271,90,126,184,191,72,142,121
714,277,94,132,187,190,75,138,127
715,272,107,126,185,196,75,144,119
716,276,111,123,189,191,74,142,120
717,276,120,126,185,191,75,140,124
718,271,108,126,184,191,74,141,125
719,282,115,125,189,191,76,141,122
720,271,98,126,184,191,74,141,124
721,276,94,126,188,189,79,139,122
722,271,92,126,184,191,74,142,122
723,273,116,126,188,191,76,144,120
724,276,107,153,188,190,80,139,121
725,280,116,123,188,191,74,148,121
726,271,103,128,183,191,74,139,122
727,276,110,132,185,191,75,142,122
728,276,111,132,183,191,75,148,120
729,271,105,126,188,192,74,142,120
730,273,107,126,188,192,75,142,122
731,277,115,125,188,191,76,144,119
732,277,103,126,185,191,75,139,122
733,280,104,125,188,190,80,139,121
734,273,99,127,185,191,75,144,121
735,271,109,126,188,192,73,142,122
736,277,93,128,183,191,76,142,128
737,274,89,126,188,196,77,139,119
738,273,90,125,188,188,75,139,122
739,280,77,126,188,192,73,142,122
740,274,71,123,188,187,75,142,119
741,271,89,126,192,187,75,142,120
742,271,96,125,188,190,74,144,121
743,273,93,125,187,191,74,144,119
744,271,96,126,192,187,75,142,122
745,273,96,126,188,187,75,142,120
746,274,90,123,188,192,75,142,121
747,257,74,126,192,191,75,144,119
748,264,94,126,185,191,80,141,122
